Almanca Kelime - İfade,Tür,İngilizce Karşılığı,Örnek Cümle
die Klasse,Noun,Class (1st or 2nd),Ich fahre meistens in der zweiten ***.
die Verbindung,Noun,Connection,Gibt es eine gute *** nach München?
die Reservierung,Noun,Reservation,Eine *** für den Sitzplatz ist sinnvoll.
die Hinfahrt,Noun,Outward journey - One way trip,Was kostet die *** allein?
der Halt,Noun,Stop,Nächster ***: Köln Hauptbahnhof.
das Produkt,Noun,Product,Dieses *** ist sehr beliebt.
die Rückfahrt,Noun,Return journey,Ich buche gleich die *** mit.
umsteigen,Verb,To change trains - To transfer,In Hannover müssen wir ***.
die Durchsage,Noun,Announcement,Achten Sie auf die *** am Bahnsteig.
der Hauptbahnhof,Noun,Main station - Central station,Der *** liegt direkt im Zentrum.
der Ausgang,Noun,Exit,Folgen Sie den Schildern zum ***.
der Eingang,Noun,Entrance,Der *** befindet sich auf der anderen Seite.
der Plan,Noun,Plan - Map,Ich habe den *** der Stadt dabei.
die Kreuzung,Noun,Intersection - Crossing,Gehen Sie an der nächsten *** links.
die Richtung,Noun,Direction,In welche *** müssen wir fahren?
geradeaus,Adverb,Straight ahead,Gehen Sie immer *** bis zur Post.
links,Adverb,Left - To the left,Biegen Sie an der Ampel *** ab.
rechts,Adverb - Adjective,Right - To the right,Der Supermarkt ist auf der ***en Seite.
warten,Verb,To wait,Bitte *** Sie einen Moment hier.
durch,Preposition,Through,Wir gehen *** den Park.
der Feierabend,Noun,End of the working day,Ich wünsche dir einen schönen ***.
die Orientierung,Noun,Orientation,Ohne Karte habe ich keine ***.
stop,Interjection,Stop,Bitte machen Sie dort einen ***.
aufmachen,Verb,To open,Kannst du bitte die Tür ***?
die Apotheke,Noun,Pharmacy - Drugstore,Ich muss noch kurz in die ***.
die Bank,Noun,Bank,Die *** ist samstags geschlossen.
das Rathaus,Noun,Town hall - City hall,Das *** ist ein historisches Gebäude.
der Marktplatz,Noun,Market square,Wir treffen uns auf dem ***.
das Museum,Noun,Museum,Das *** zeigt moderne Kunst.
das Reisebüro,Noun,Travel agency,Wir buchen den Urlaub im ***.
der Dom,Noun,Cathedral,Der Kölner *** ist weltberühmt.
die Haltestelle,Noun,Stop - Station (bus-tram),Wo ist die nächste *** der Linie 5?
der Fluss,Noun,River,Die Elbe ist ein langer ***.
der Stadtplan,Noun,City map,Auf dem *** finde ich den Weg.
die Wegbeschreibung,Noun,Directions - Way description,Kannst du mir eine *** schicken?
in,Preposition,In - Into,Wir gehen *** das Kino.
an,Preposition,At - To - By,Ich stehe *** der Bushaltestelle.
einsteigen,Verb,To get in - To board,Bitte *** Sie schnell ***.
aussteigen,Verb,To get out - To get off,An der nächsten Station müssen wir ***.
die Wirtschaft,Noun,Economy,Die *** wächst in diesem Jahr.
die Industrie,Noun,Industry,In dieser Region gibt es viel ***.
der-die Einwohner-in,Noun,Inhabitant - Resident,Die Stadt hat eine Million ***.
das Stadtzentrum,Noun,City center,Im *** sind viele Geschäfte.
der Laden,Noun,Shop - Store,Dieser kleine *** verkauft Bio-Produkte.
die Sehenswürdigkeit,Noun,Sight - Landmark,Welche *** besuchen wir zuerst?
besichtigen,Verb,To visit - To sightsee,Wir wollen das Schloss ***.
bekannt,Adjective,Known - Well-known,Er ist ein ***er Schauspieler.
berühmt,Adjective,Famous,Beethoven war ein ***er Komponist.
kulturell,Adjective,Cultural,Es gibt hier viele ***e Angebote.
das Boot,Noun,Boat,Wir fahren mit dem *** über den Fluss.
das Märchen,Noun,Fairy tale,Die Brüder Grimm schrieben viele ***.
der Esel,Noun,Donkey,Der *** ist ein Tier in einem Märchen.
der Hahn,Noun,Rooster,Der *** kräht früh am Morgen.
die Himmelsrichtung,Noun,Cardinal direction,Norden ist eine ***.
Norden-Osten...,Noun,North-East...,Wir fahren in den *** von Deutschland.
liegen,Verb,To be located - To lie (geographically),Bremen *** im Norden von Deutschland.
das Schloss,Noun,Castle - Palace,Das *** Neuschwanstein ist sehr schön.
die Universität,Noun,University,Ich studiere an der ***.
